Clasificación_Real,explicación_clasificación_2,clasificación_2
 Pec (strong tidal tails)                                                                             ,peculiar,8
 Pec (strong tidal tails)                                                                             ,peculiar,8
 E4                                                                                                   ,elíptica,6
 E4                                                                                                   ,elíptica,6
 E4                                                                                                   ,elíptica,6
 E4                                                                                                   ,elíptica,6
 E4                                                                                                   ,elíptica,6
 E4                                                                                                   ,elíptica,6
 E4                                                                                                   ,elíptica,6
 E4                                                                                                   ,elíptica,6
 E0                                                                                                   ,elíptica,6
 E0                                                                                                   ,elíptica,6
 E0                                                                                                   ,elíptica,6
 E0                                                                                                   ,elíptica,6
 E0                                                                                                   ,elíptica,6
 E0                                                                                                   ,elíptica,6
 E0                                                                                                   ,elíptica,6
 E0                                                                                                   ,elíptica,6
 E^+1                                                                                               ,elíptica,6
 E^+1                                                                                               ,elíptica,6
 E^+1                                                                                               ,elíptica,6
 E^+1                                                                                               ,elíptica,6
 E^+1                                                                                               ,elíptica,6
 E^+1                                                                                               ,elíptica,6
 E^+1                                                                                               ,elíptica,6
 E^+1                                                                                               ,elíptica,6
 (R'L)IA(s)m pec                                                                            ,irregular,7
 (R'L)IA(s)m pec                                                                            ,irregular,7
 (R'L)IA(s)m pec                                                                            ,irregular,7
 (R'L)IA(s)m pec                                                                            ,irregular,7
 (R'L)IA(s)m pec                                                                            ,irregular,7
 (R'L)IA(s)m pec                                                                            ,irregular,7
 (R'L)IA(s)m pec                                                                            ,irregular,7
 (R'L)IA(s)m pec                                                                            ,irregular,7
 E0-1                                                                                                 ,elíptica,6
 E0-1                                                                                                 ,elíptica,6
 E0-1                                                                                                 ,elíptica,6
 E0-1                                                                                                 ,elíptica,6
 E0-1                                                                                                 ,elíptica,6
 E0-1                                                                                                 ,elíptica,6
 E0-1                                                                                                 ,elíptica,6
 E0-1                                                                                                 ,elíptica,6
 E^+2                                                                                               ,elíptica,6
 E^+2                                                                                               ,elíptica,6
 E^+2                                                                                               ,elíptica,6
 E^+2                                                                                               ,elíptica,6
 E^+2                                                                                               ,elíptica,6
 E^+2                                                                                               ,elíptica,6
 E^+2                                                                                               ,elíptica,6
 E^+2                                                                                               ,elíptica,6
 E0-1                                                                                                 ,elíptica,6
 E0-1                                                                                                 ,elíptica,6
 E0-1                                                                                                 ,elíptica,6
 E0-1                                                                                                 ,elíptica,6
 E0-1                                                                                                 ,elíptica,6
 E0-1                                                                                                 ,elíptica,6
 E0-1                                                                                                 ,elíptica,6
 E0-1                                                                                                 ,elíptica,6
 E0-1                                                                                                 ,elíptica,6
 E0-1                                                                                                 ,elíptica,6
 E0-1                                                                                                 ,elíptica,6
 E0-1                                                                                                 ,elíptica,6
 E0-1                                                                                                 ,elíptica,6
 E0-1                                                                                                 ,elíptica,6
 E0-1                                                                                                 ,elíptica,6
 E0-1                                                                                                 ,elíptica,6
 E^+1                                                                                               ,elíptica,6
 E^+1                                                                                               ,elíptica,6
 E^+1                                                                                               ,elíptica,6
 E^+1                                                                                               ,elíptica,6
 E^+1                                                                                               ,elíptica,6
 E^+1                                                                                               ,elíptica,6
 E^+1                                                                                               ,elíptica,6
 E^+1                                                                                               ,elíptica,6
 Pec (merger)                                                                                         ,peculiar,8
 Pec (merger)                                                                                         ,peculiar,8
 Pec (merger)                                                                                         ,peculiar,8
 Pec (merger)                                                                                         ,peculiar,8
 Pec (merger)                                                                                         ,peculiar,8
 Pec (merger)                                                                                         ,peculiar,8
 Pec (merger)                                                                                         ,peculiar,8
 Pec (merger)                                                                                         ,peculiar,8
 Pec (merger with strong tidal tails)                                                                 ,peculiar,8
 Pec (merger with strong tidal tails)                                                                 ,peculiar,8
 Pec (merger with strong tidal tails)                                                                 ,peculiar,8
 Pec (merger with strong tidal tails)                                                                 ,peculiar,8
 Pec (merger with strong tidal tails)                                                                 ,peculiar,8
 Pec (merger with strong tidal tails)                                                                 ,peculiar,8
 Pec (merger with strong tidal tails)                                                                 ,peculiar,8
 Pec (merger with strong tidal tails)                                                                 ,peculiar,8
 IAB(s)m                                                                                              ,irregular,7
 IAB(s)m                                                                                              ,irregular,7
 IAB(s)m                                                                                              ,irregular,7
 IAB(s)m                                                                                              ,irregular,7
 IAB(s)m                                                                                              ,irregular,7
 IAB(s)m                                                                                              ,irregular,7
 IAB(s)m                                                                                              ,irregular,7
 IAB(s)m                                                                                              ,irregular,7
 E2-3                                                                                                 ,elíptica,6
 E2-3                                                                                                 ,elíptica,6
 E2-3                                                                                                 ,elíptica,6
 E2-3                                                                                                 ,elíptica,6
 E2-3                                                                                                 ,elíptica,6
 E2-3                                                                                                 ,elíptica,6
 E2-3                                                                                                 ,elíptica,6
 E2-3                                                                                                 ,elíptica,6
 dIm                                                                                                  ,irregular,7
 dIm                                                                                                  ,irregular,7
 dIm                                                                                                  ,irregular,7
 dIm                                                                                                  ,irregular,7
 dIm                                                                                                  ,irregular,7
 dIm                                                                                                  ,irregular,7
 dIm                                                                                                  ,irregular,7
 dIm                                                                                                  ,irregular,7
 E pec (dust lane)                                                                                    ,elíptica,6
 E pec (dust lane)                                                                                    ,elíptica,6
 E pec (dust lane)                                                                                    ,elíptica,6
 E pec (dust lane)                                                                                    ,elíptica,6
 E pec (dust lane)                                                                                    ,elíptica,6
 E pec (dust lane)                                                                                    ,elíptica,6
 E pec (dust lane)                                                                                    ,elíptica,6
 E pec (dust lane)                                                                                    ,elíptica,6
 I(s)m / BCD                                                                                          ,irregular,7
 I(s)m / BCD                                                                                          ,irregular,7
 I(s)m / BCD                                                                                          ,irregular,7
 I(s)m / BCD                                                                                          ,irregular,7
 I(s)m / BCD                                                                                          ,irregular,7
 I(s)m / BCD                                                                                          ,irregular,7
 I(s)m / BCD                                                                                          ,irregular,7
 I(s)m / BCD                                                                                          ,irregular,7
 E3-4                                                                                                 ,elíptica,6
 E3-4                                                                                                 ,elíptica,6
 E3-4                                                                                                 ,elíptica,6
 E3-4                                                                                                 ,elíptica,6
 E3-4                                                                                                 ,elíptica,6
 E3-4                                                                                                 ,elíptica,6
 E3-4                                                                                                 ,elíptica,6
 E3-4                                                                                                 ,elíptica,6
 Pec (merger of 3?)                                                                                   ,peculiar,8
 Pec (merger of 3?)                                                                                   ,peculiar,8
 Pec (merger of 3?)                                                                                   ,peculiar,8
 Pec (merger of 3?)                                                                                   ,peculiar,8
 Pec (merger of 3?)                                                                                   ,peculiar,8
 Pec (merger of 3?)                                                                                   ,peculiar,8
 Pec (merger of 3?)                                                                                   ,peculiar,8
 Pec (merger of 3?)                                                                                   ,peculiar,8
 I0 pec                                                                                               ,irregular,7
 I0 pec                                                                                               ,irregular,7
 I0 pec                                                                                               ,irregular,7
 I0 pec                                                                                               ,irregular,7
 I0 pec                                                                                               ,irregular,7
 I0 pec                                                                                               ,irregular,7
 I0 pec                                                                                               ,irregular,7
 I0 pec                                                                                               ,irregular,7
 E(b?)5-6                                                                                             ,elíptica,6
 E(b?)5-6                                                                                             ,elíptica,6
 E(b?)5-6                                                                                             ,elíptica,6
 E(b?)5-6                                                                                             ,elíptica,6
 E(b?)5-6                                                                                             ,elíptica,6
 E(b?)5-6                                                                                             ,elíptica,6
 E(b?)5-6                                                                                             ,elíptica,6
 E(b?)5-6                                                                                             ,elíptica,6
